x,y,z1,z2,z3,z4
0.65,1.8,-100.7990547,-0.962715711,-0.004482767,0.967198477
0.65,1.85,-100.799438,-0.963047325,-0.003655105,0.96670243
0.65,1.9,-100.7997496,-0.963320845,-0.002962572,0.966283417
0.65,1.95,-100.8000014,-0.963544887,-0.002385004,0.965929891
0.65,2,-100.8002034,-0.963727019,-0.001904984,0.965632003
0.65,2.05,-100.800364,-0.963874565,-0.001506774,0.965381339
0.65,2.1,-100.8004903,-0.963992341,-0.00117841,0.96517075
0.65,2.15,-100.8005886,-0.964084423,-0.000909632,0.964994054
0.65,2.2,-100.8006638,-0.964155709,-0.000690207,0.964845916
0.65,2.25,-100.8007203,-0.964209613,-0.00051216,0.964721772
0.65,2.3,-100.8007617,-0.96424802,-0.000369664,0.964617683
0.65,2.35,-100.8007911,-0.964273684,-0.000256567,0.964530251
0.65,2.4,-100.8008109,-0.964289912,-0.000166728,0.96445664
0.65,2.45,-100.8008232,-0.964298248,-9.62E-05,0.964394468
0.65,2.5,-100.8008296,-0.964299522,-4.22E-05,0.9643417
0.65,2.55,-100.8008316,-0.964295541,-1.11E-06,0.964296649
0.65,2.6,-100.8008301,-0.964288572,3.0575e-05,0.964257997
0.65,2.65,-100.800826,-0.964279382,5.4697e-05,0.964224685
0.65,2.7,-100.80082,-0.964267901,7.208e-05,0.964195821
0.65,2.75,-100.8008126,-0.964254646,8.3975e-05,0.964170672
0.65,2.8,-100.8008042,-0.96424087,9.2184e-05,0.964148686
0.65,2.85,-100.8007952,-0.964227362,9.7902e-05,0.96412946
0.65,2.9,-100.8007858,-0.964213844,0.000101224,0.96411262
0.65,2.95,-100.8007762,-0.964200056,0.000102215,0.96409784
0.65,3,-100.8007665,-0.964186297,0.000101476,0.964084821
0.65,3.05,-100.800757,-0.964173157,9.9767e-05,0.96407339
0.65,3.1,-100.8007477,-0.964160932,9.7459e-05,0.964063473
0.65,3.15,-100.8007386,-0.964149356,9.4399e-05,0.964054957
0.65,3.2,-100.8007299,-0.96413813,9.0465e-05,0.964047665
0.65,3.25,-100.8007216,-0.964127293,8.5907e-05,0.964041386
0.65,3.3,-100.8007137,-0.964117115,8.1144e-05,0.96403597
0.65,3.35,-100.8007062,-0.964107673,7.6264e-05,0.96403141
0.65,3.4,-100.8006993,-0.964099121,7.142e-05,0.964027702
0.65,3.45,-100.8006927,-0.964091186,6.6438e-05,0.964024748
0.65,3.5,-100.8006867,-0.964083743,6.1321e-05,0.964022422
0.65,3.55,-100.8006812,-0.964076775,5.6215e-05,0.964020561
0.65,3.6,-100.8006761,-0.964070468,5.1474e-05,0.964018994
0.65,3.65,-100.8006714,-0.964064811,4.706e-05,0.964017752
0.65,3.7,-100.8006672,-0.96405991,4.3011e-05,0.964016899
0.65,3.75,-100.8006633,-0.964055453,3.9077e-05,0.964016376
0.65,3.8,-100.8006598,-0.964051511,3.5357e-05,0.964016154
0.65,3.85,-100.8006566,-0.964047983,3.18e-05,0.964016183
0.65,3.9,-100.8006538,-0.964044445,2.8156e-05,0.964016289
0.65,3.95,-100.8006513,-0.964041498,2.5143e-05,0.964016355
0.65,4,-100.800649,-0.964039275,2.2815e-05,0.964016461
0.7,0.5,-100.5909149,-0.149866116,-0.687178223,0.837044339
0.7,0.55,-100.6477731,-0.285981496,-0.525279861,0.811261356
0.7,0.6,-100.6915699,-0.379830437,-0.407830089,0.787660527
0.7,0.65,-100.725798,-0.445443844,-0.320897185,0.766341029
0.7,0.7,-100.7528838,-0.491853343,-0.255431427,0.74728477
0.7,0.75,-100.7745508,-0.525017845,-0.205371826,0.730389671
0.7,0.8,-100.7920466,-0.548944293,-0.166566894,0.715511187
0.7,0.85,-100.8062897,-0.566373388,-0.136116262,0.702489649
0.7,0.9,-100.8179663,-0.579207774,-0.111951982,0.691159756
0.7,0.95,-100.8275958,-0.588781183,-0.092572687,0.68135387
0.7,1,-100.8355756,-0.596031285,-0.07687456,0.672905844
0.7,1.05,-100.842213,-0.601614998,-0.064040494,0.665655491
0.7,1.1,-100.8477484,-0.605989893,-0.053462528,0.65945242
0.7,1.15,-100.8523726,-0.609472815,-0.044685851,0.654158666
0.7,1.2,-100.8562387,-0.612282969,-0.037367012,0.649649981
0.7,1.25,-100.8594715,-0.614573523,-0.031242632,0.645816154
0.7,1.3,-100.8621738,-0.616453292,-0.026107121,0.642560413
0.7,1.35,-100.8644309,-0.61800223,-0.021796346,0.639798575
0.7,1.4,-100.8663144,-0.619280977,-0.018176754,0.637457731
0.7,1.45,-100.8678841,-0.620337227,-0.01513792,0.635475147
0.7,1.5,-100.8691904,-0.621209796,-0.0125871,0.633796896
0.7,1.55,-100.8702757,-0.621930231,-0.010446691,0.632376922
0.7,1.6,-100.8711754,-0.62252522,-0.008650708,0.631175928
0.7,1.65,-100.8719195,-0.623016441,-0.007144018,0.630160458
0.7,1.7,-100.8725331,-0.623421731,-0.005880511,0.629302242
0.7,1.75,-100.8730372,-0.62375622,-0.004820994,0.628577213
